City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Ouagadougou,BF,2022-10-18 00:31:42,12.3642,-1.5383,78.93,69,10,2.3
274,Greenville,US,2022-10-18 00:30:31,35.6127,-77.3663,72.12,64,0,8.05
275,Manosque,FR,2022-10-18 00:31:49,43.8288,5.7869,58.57,83,100,3.49
276,Shingu,JP,2022-10-18 00:31:50,33.7333,135.9833,72.66,53,17,3.49
277,Saint Anthony,US,2022-10-18 00:31:50,45.0205,-93.218,33.82,52,100,14.97
278,Bandarbeyla,SO,2022-10-18 00:31:50,9.4942,50.8122,76.46,82,0,5.21
279,Mecca,SA,2022-10-18 00:31:51,21.4267,39.8261,80.55,45,11,2.57
280,Shwebo,MM,2022-10-18 00:31:51,22.5667,95.7,76.08,87,81,3.56
281,Hamilton,US,2022-10-18 00:27:34,39.1834,-84.5333,43.45,53,68,5.99
282,Hambantota,LK,2022-10-18 00:30:44,6.1241,81.1185,75.54,100,20,5.75
283,Hegang,CN,2022-10-18 00:31:51,47.4,130.3667,39.29,38,0,11.97
284,Colac,AU,2022-10-18 00:31:52,-38.3333,143.5833,62.17,58,100,4.79
285,Niamey,NE,2022-10-18 00:31:52,13.5137,2.1098,82.69,44,6,5.75
286,Suhbaatar,MN,2022-10-18 00:31:52,50.2314,106.2078,32.43,35,100,3.36
287,Hovd,MN,2022-10-18 00:31:53,48.0056,91.6419,41.29,38,100,7.74
288,Ahipara,NZ,2022-10-18 00:29:32,-35.1667,173.1667,62.67,62,21,10.33
289,San Quintin,MX,2022-10-18 00:31:53,30.4833,-115.95,68.36,81,0,17.43
290,Oga,IT,2022-10-18 00:31:54,46.4631,10.347,43.68,80,13,1.32
291,Henties Bay,NA,2022-10-18 00:31:54,-22.116,14.2845,56.77,93,20,3.38
292,Shimoda,JP,2022-10-18 00:30:34,34.6667,138.95,66.56,84,100,9.22
293,Itarema,BR,2022-10-18 00:31:54,-2.9248,-39.9167,78.89,81,84,18.34
